Title,Year,Keywords,MeSH Terms
Branched-chain amino acids enhance the growth and fat storage of black soldier fly (Hermetia illucens) reared on crop straw-based diets.,2026,Black soldier fly; Branched-chain amino acids (BCAAs); Crop straw; Fat storage; Lipid metabolism; Waste management,
Optimizing Black Soldier Fly frass fertilizer rates for maize and soybean production in Madagascar.,2026,,"Fertilizers; Zea mays; Glycine max; Animals; Madagascar; Agriculture; Crops, Agricultural; Crop Production; Diptera"
To treat or not to treat? Impact of hygienization on the microbiological safety of frass from black soldier fly larvae and yellow mealworm production aimed for fertilizer use.,2026,E. coli; Hermetia illucens; Salmonella; Tenebrio molitor; Enterococaceae; Hygienization; Insect rearing residue,
Genome Integrity in Dairy Cows Fed Black Soldier Fly Oil: An Integrated Sister Chromatid Exchange and Alkaline Comet In Vivo Assessment.,2026,Hermetia illucens oil; genome-damaging effects; genotoxicity; insect derived meal; ruminant,Animals; Sister Chromatid Exchange; Cattle; Comet Assay; Female; Animal Feed; DNA Damage; Lymphocytes; Genomic Instability; Diet
Dose-Dependent Effects of Black Soldier Fly Larvae Meal on Growth and Health of Common Carp.,2026,Cyprinus carpio; black soldier fly larvae meal; growth performance; microbiota; oxidative status,
"Effects of Replacing Soybean Meal with Different Proportions of Black Soldier Fly Larvae Meal on Antioxidant Indicators, Immune System, and Gut Health of Xichuan Black-Bone Chickens.",2026,antioxidant capacity; black soldier fly larvae meal; feed substitution; intestinal microbiota; metabolic regulation,
Direct utilization of unprocessed food waste for black soldier fly larvae rearing.,2026,Black soldier fly; Growth performance; Gut microbiota; Metabolomics; Nutritional composition; Unprocessed food waste,
"Combined Substitution of Fishmeal and Fish Oil With Black Soldier Fly Larval Meal and Corn Oil: Effects on Growth, Hematology, Hematobiochemical, Amino and Fatty Acid Composition, and Fillet Nutritional Quality of Hybrid African Catfish <i>Clarias gariepinus</i> × <i>Heterobranchus longifilis</i>.",2026,alternative ingredients; health status; muscle composition; production performance; sustainable aquaculture,
"Antibacterial and antioxidant potentials of larval extract of black soldier fly, <i>Hermetia illucens</i> and blow fly, <i>Lucilia sericata</i>, for biomedical applications.",2026,antibacterial activity; antioxidant activity; black soldier fly; blow fly; larval extracts,
Influence of Cr and Cd accumulation and excretion on growth and gut microbiota in black soldier fly larvae (Diptera: Stratiomyidae).,2026,Hermetia illucens; frass; heavy metal; larval development; larval gut; microbial community,
Bioaccumulation and elimination kinetics of metals and polycyclic aromatic hydrocarbons in Hermetic illucens larvae: Implications for risk mitigation of selected contaminants in insect farming.,2026,Black soldier fly; Circularity; Contaminant elimination; Edible insects; Food safety; Toxicokinetics,
Effects of graded dietary black soldier fly larvae powder inclusion on semen quality and serum biochemical indices of Luxi game breeder roosters.,2026,Alternative source of protein; Insect meal; Poultry reproduction; Replacement of soybean,
"A Comparative Survey of Soldier Fly (Stratiomyidae) Larval Gut Microbiomes Across Five Subfamilies Reveals Novel Bacterial Diversity and a ""Wild Core"" in Hermetia illucens.",2026,Black Soldier Fly; Gut microbiome; Microbial diversity; Microbiota; Probiotic; Stratiomyidae,
"Probiotic-based fermentation of watermelon waste: Effects on bioconversion efficiency, microbial shifts, and expression profiles of black soldier fly larvae.",2026,bioconversion; black soldier fly larvae; fermentation; gene expression; microbiota; watermelon waste,
From Waste to Resource: Performance of Black Soldier Fly Larvae Reared on Restaurant Food Waste at an Industrial Scale.,2026,BSFL bioconversion; One Health; circular economy; food waste; sustainable agrifood systems,
Ontogenetic Variations in the Sensory Organ Structure and Morphology on the Cephalic Appendages of <i>Hermetia illucens</i> (Diptera: Stratiomyidae) Larvae.,2026,antennae; black soldier fly; chemoreceptor; maxillary palp; sensilla,
Larval and pupal development in Hermetia illucens: developmental checkpoints and starvation-induced dormancy.,2026,Black soldier fly; Critical weight; Dormancy; Growth and development; Metamorphosis,"Animals; Larva; Pupa; Metamorphosis, Biological; Tephritidae; Starvation; Fat Body"
Feasibility of soilless substrate systems supplemented with black soldier fly frass for sustainable mushroom cultivation.,2026,Black solider fly; Frass; Pleurotus ostreatus; Soilless substrate; Supplementation; Waste valorisation,
Gut-Liver Axis Disruption Induced by Total Fish Oil Substitution with Black Soldier Fly Oil Impairs Growth and Health in Rainbow Trout (Oncorhynchus mykiss): Insights from Multi-Omics Analysis.,2026,AMPK/ACC signaling; Black soldier fly oil; PPARγ signaling pathway; gut microbiota; lipid metabolism; lipotoxicity,
Path Analysis Results on Bone Markers That Influence Accelerated Bone Remodeling: An Experimental Study.,2026,Black Soldier Fly (Hermetia illucens); bone regeneration; demineralized dentin matrixs; nanochitosan; path analysis,Animals; Bone Remodeling; Male; Osteoprotegerin; Osteoblasts; Guinea Pigs; Biomarkers; RANK Ligand; Osteoclasts; Osteocalcin; Dentin
"Proteomic datasets of three <i>Hermetia illucens</i> Larvae Forms (Fresh, Dried, and Protein concentrate).",2026,Black soldier fly; Dry; Feed alternative; Live; Proteomics,
Effects of dietary black soldier fly larvae meal inclusion on the serum metabolome of Silkie crossbreed chickens.,2026,black soldier fly larvae; chickens; growth performance; gut health; lipid metabolism; serum metabolomics,
Cryptic diversity and impacts of domestication in the black soldier fly (Hermetia illucens) genome.,2026,Domestication; cryptic diversity; evolution; genetic diversity; inbreeding; population genomics,
"Black Soldier Fly Promoted Bioconversion of Tomato Toxic Plant Biomass to Safe, Functional Animal Feed.",2026,BSF rearing; Solanum lycopersicum; circular economy; insect meal; plant biomass valorization; solanaceae cultivation byproducts; tomato plant biomass,Solanum lycopersicum; Animals; Animal Feed; Biomass; Larva; Tomatine; Diptera
"Defatted Black Soldier Fly Meal as a Dietary Protein Source for Grey Mullet (<i>Mugil cephalus</i>): Effects on Growth Performance, Gut Morphology, Spleen and Liver Health.",2026,Hermetia illucens; Mugil cephalus; aquafeed; fish health; fish nutrition; insect meal,
Practical Aquafeeds Incorporating Insect and Algae Meals Achieve Quality and Growth Standards Comparable to Traditional Feeds in Rainbow Trout (<i>Oncorhynchus mykiss</i>).,2026,apparent digestibility; black soldier fly; carbon footprint; fillet quality; macroalgae; microalgae; rainbow trout,
Microbial diversity and metabolic pathways driving humic acid formation in two-stage insect bioconversion system.,2026,Chicken manure; Hermetia illucens; Humification; Protaetia brevitarsis,Humic Substances; Animals; Metabolic Networks and Pathways; Larva; Manure; Diptera; Biodiversity
"Valorization of Spirulina residue via black soldier fly larvae: Unraveling metabolic rewiring for optimized protein, lipid, and vitamin biosynthesis.",2026,Bioaccumulation; Hermetiaillucens; Metabolic reprogramming; Spirulina residue; Waste valorization,Animals; Larva; Spirulina; Vitamins; Lipids; Simuliidae; Amino Acids
"Nutritional alternatives to commercial lipid sources: Impact of the dietary inclusion of black soldier fly (<i>Hermetia illucens</i>) larvae oil on broiler chicken productivity, breast meat quality traits and caeca microbiome.",2026,Chicken; Fatty acids profile; Insect oil; Metagenome; Nutrition,
Impact of waste-derived ethanol on growth and metabolic allocation in black soldier fly larvae: Implications for organic waste treatment.,2026,Chemosensory signalling; Insect behaviour; Insect metabolite; VOC preference; Waste-derived VOCs,
"Replacing palm fatty acid distillate by black soldier fly oil in the diet of dairy ewes: effects on animal performance, ruminal fermentation, plasma metabolites and oxidative stress.",2026,Hermetia illucens; insect fat; lauric acid; nutrition; sheep,
System dynamics modelling of black soldier fly larvae composting for organic fertilizer production.,2026,Black soldier fly larvae composting; Coffee pulp; Food waste; Organic fertilizer; System dynamics modelling,
Microbial drivers of Black Soldier Fly biowaste valorization: from microbiome functions to scalable insect-microbe systems.,2026,Hermetia illucens; aerobic digestion; anaerobic digestion; composting; frass; microbial consortia,
"Comprehensive safety assessment of Bt toxins Cry1Ac or Cry2Ae on the non-target insect Hermetia illucens, a natural waste recycler.",2026,Bacillus thuringiensis (Bt); Biosafety assessment; Cry toxins; Hermetia illucens; Transcriptomic analysis,"Animals; Bacillus thuringiensis Toxins; Endotoxins; Hemolysin Proteins; Larva; Bacterial Proteins; Diptera; Female; Plants, Genetically Modified; Male; Bacillus thuringiensis"
Dietary chitosan enhances gut microbial diversity and modulates beneficial and pathogenic communities in Channa striata fingerlings.,2026,Channa striata; Chitosan; Gut microbial composition; Gut microbiome; Metagenomics; Prebiotics,"Chitosan; Animals; Gastrointestinal Microbiome; Animal Feed; Bacteria; RNA, Ribosomal, 16S; Diet; Dietary Supplements; Fishes; Biodiversity; Aquaculture"
Development of a bioconversion system for valorizing organic solid waste into feed protein and organic fertilizer.,2026,Bioconversion system; Black soldier fly; Compost production; Organic solid waste; Proximate composition,
"Bioremediation of high concentrations of mercury and nickel in activated sludge by black soldier fly larvae: Accumulation, transformation, and sustainability assessment.",2026,Biotransformation; Heavy metal immobilization; Intestinal absorption; Mercury; Nickel,"Animals; Nickel; Larva; Sewage; Biodegradation, Environmental; Mercury; Diptera; Water Pollutants, Chemical"
Enrichment with Hermetia illucens live larvae in a cage-free system: effects on welfare and egg production and quality in laying hens of two genotypes.,2026,Behavior; Black soldier fly; Gut microbiota; Space use; welfare,
Transgenerational dynamics of gut microbiota in black soldier fly larvae (<i>Hermetia illucens</i>) reared on a novel substrate.,2026,Hermetia illucens; Sloan neutral model; adaptation; black soldier fly; core microbiota; genetic; gut microbiota; selective breeding; transgenerational,
Heavy metal accumulation and fecal microbiota response in black soldier fly larvae: identification of <i>Leminorella grimontii</i> as a potential indicator species.,2026,Black soldier fly larva (BSFL); Heavy metal; Leminorella grimontii; Mackerel head,
"Evaluation of carotenoid bioaccumulation in black soldier fly, Hermetia illucens (Diptera: Stratiomyidae), and its influence on nutritional characteristics and antioxidant capacity.",2026,Bioconversion; Black soldier fly larvae; Edible insects; Food waste; Hermetia illucens (Diptera: Stratiomyidae); Oxidation resistance,
In-Depth Characterization of Black Soldier Fly Larvae Reared on Phenolic-Rich Agro-Industrial Substrates.,2026,alternative protein source; bioactive compounds; insect-based feed; nutritional and functional profile,
Beyond the ban: Bacterial microbiota analysis of Hermetia illucens larvae meat-fed in the context of EU regulation.,2026,Black soldier Fly; Edible insects; Feed safety; Food safety; Former foodstuff products; Metagenetic; Microbiota,Animals; Larva; Diptera; Animal Feed; European Union; Bacteria; Meat; Microbiota; Food Microbiology
Microwave-assisted valorization of black soldier fly pupal and shrimp shells into chitin and chitosan: A rapid biopolymer recovery approach.,2026,Biopolymer; Cocoon; Energy source; Insect biorefinery; Pupae; Wastes,Animals; Microwaves; Chitosan; Chitin; Pupa; Animal Shells; Biopolymers; Penaeidae; Crustacea
"Effects of Black Soldier Fly Larvae as Replacement of Soybean Meal on the Performance, Meat Quality, and Health Status in Broilers.",2026,black soldier fly larvae; blood biochemistry; broiler; carcass traits; growth performance; soybean meal replacement,
Farmers' willingness to pay for organic fertilisers from Black Soldiers Fly Larvae frass in Malawi.,2026,Circular economy; Frass; Malawi; Organic fertilizer; Sustainable agriculture; Willingness to pay,
"Built by Iron, changed by heat: Mineral bioaccessibility in iron-fortified and processed Hermetia illucens larvae.",2026,Alternative proteins; Black soldier fly; Dietary iron; In vitro digestion; Iron nanoparticles; Mineral bioaccessibility,"Animals; Larva; Iron; Minerals; Diptera; Food, Fortified; Hot Temperature; Biological Availability; Animal Feed; Digestion; Zinc"
Selection and <i>In Vitro</i> Assessment of Plant Growth-Promoting Bacteria from Black Soldier Fly (<i>Hermetia illucens</i>) Frass.,2026,Arabidopsis; black soldier fly; heat treatment; larval diet; phytohormone production; rhizobacteria; rhizosphere simulation,
"Fish meal replacement with poultry byproduct and black soldier fly larvae proteins: effects on growth, flesh quality, bioactivity, and physiological responses of Nile tilapia.",2026,Bioactivity; Black soldier fly larvae; Growth performance; Nile tilapia; Poultry by-product,Animals; Cichlids; Animal Feed; Larva; Poultry; Diptera; Antioxidants; Aquaculture; Poultry Products
Phosphorus role in bioconversions of food waste by black soldier fly larvae.,2026,Bioconversion; Biowaste; Food waste; Gut microbe; Insect protein; Phosphorus recycling,Animals; Larva; Phosphorus; Recycling; Phosphates; Simuliidae; Food Loss and Waste
"The integral role of the Black Soldier fly, <i>Hermetia illucens</i> L., microbiota in its life history.",2025,Black Soldier fly; bacterial community; gut microbiota; nutrient provision; protection,
Research Note: Black soldier fly larvae oil restores intestinal barrier integrity and attenuates inflammation in broiler chickens fed low crude protein diets.,2026,Black soldier larvae; Gut integrity; Insect; Low crude protein diet; Sustainable poultry production,
Enriching Eggs Naturally: The Nutritional Power of Black Soldier Fly Whole Dry Larvae.,2026,antioxidants; black soldier fly; carotenoids; egg enrichment; fatty acids; hens’ diet; vitamins,
Black soldier fly protein-based microencapsulation of lemongrass oil improves rumen fermentation efficiency and mitigates methane production <i>in vitro</i>.,2026,black soldier fly protein; climate-smart ruminant nutrition; essential oil microencapsulation; in vitro gas production; lemongrass oil; methane mitigation; rumen fermentation; sustainable feed additive,
The hidden sweet tooth of the black soldier fly (Hermetia illucens).,2026,Black soldier fly; Chemoreception; Electrophysiology; Gustatory receptors; Sugar tasting,"Animals; Male; Female; Feeding Behavior; Sucrose; Insect Proteins; Receptors, Cell Surface; Diptera"
Impact of agro-industrial by-products on nutritional value and microbiota composition of black soldier fly larvae.,2026,16S rRNA gene sequencing; Hermetia illucens; agro-industrial by-product; lactic acid bacteria; microbiota,
"Comparative effectiveness of composting sun-dried versus insect-bioconverted chicken manure: Impacts on maturity, early plant development, gaseous emissions, and microbial communities.",2026,Frass; Gas emissions; Maturity; Phytotoxicity; Secondary maturation; Sun-dried chicken manure,Composting; Animals; Manure; Chickens; Microbiota; Plant Development; Diptera; Soil Microbiology; Greenhouse Gases; Larva; Soil
Gastrointestinal digestion modulates antioxidant activity of edible insect peptides: Molecular weight-dependent effects and in vivo validation in Caenorhabditis elegans.,2026,Antioxidant activity; Bioactive peptides; Caenorhabditis elegans; Edible insects; Gastrointestinal digestion; Oxidative stress,"Animals; Antioxidants; Caenorhabditis elegans; Digestion; Peptides; Molecular Weight; Tandem Mass Spectrometry; Edible Insects; Gastrointestinal Tract; Gryllidae; Insect Proteins; Bombyx; Larva; Chromatography, Liquid; Oxidative Stress"
Partial substitution of pork lean meat with black soldier fly larvae protein: Enhancing the quality and volatile flavor of low-salt sausages.,2026,Black soldier Fly larvae protein; Flavor; Hybrid sausage; Quality; Structure,"Animals; Meat Products; Larva; Taste; Insect Proteins; Spectroscopy, Fourier Transform Infrared; Swine; Volatile Organic Compounds; Color; Diptera; Rheology; Food Handling; Cooking; Simuliidae"
Hermetia illucens (Black Soldier Fly) Larvae Powder Restores Growth and Immune Function in a Rat Model of Malnutrition.,2026,black soldier fly; immune‐related gene expression; lymphocyte proliferation; phagocytosis,"Animals; Rats, Wistar; Powders; Male; Malnutrition; Rats; Larva; Disease Models, Animal; Cell Proliferation; Phagocytosis"
Enhancing chicken manure with bread waste and black soldier fly associated bacteria to increase larval biomass.,2026,Morganella sp.; 16S rRNA gene sequencing; Black soldier fly; Bread waste; Chicken manure; Digestive enzymes; Microbacterium paraoxydans,
"Using gas exchange measurements to monitor growth, energy expenditure, and body composition of black soldier fly larvae (Hermetia illucens) on diets varying in protein-to-carbohydrate ratio.",2026,Carbon dioxide; Dietary macronutrient composition; Energetic cost; Growth monitoring; Metabolism; Oxygen; Respiratory exchange ratio,Animals; Larva; Energy Metabolism; Body Composition; Dietary Proteins; Diet; Dietary Carbohydrates; Oxygen Consumption; Diptera
A solinvivirus induces cellular antiviral responses and reduces the lifespan of adult black soldier flies.,2026,Electron Microscopy; Hermetia illucens; Insect Immunity; Solinviviridae; Viral Transmission; entomopathogen; insect diseases; insect mass-rearing,Animals; Longevity; Insect Viruses; Viral Load; Tephritidae; Virus Replication
Correction: Evaluating the nutrient and fatty acid profiles of black soldier fly larvae (<i>Hermetia illucens</i>) raised on various diets in Thailand.,2026,Hermetia illucens; black soldier fly larvae; fatty acid profile; life on land; nutritional value; responsible consumption and production; zero hunger,
